,dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
381,1990-09-16,dinner-and-a-movie,bouncing-around-the-room,the-sloth,the-landlady,reba,ya-mar,tube,tweezer,paul-and-silas,mikes-song,i-am-hydrogen,weekapaug-groove,magilla,run-like-an-antelope,contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,1990-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1990-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1990-09-20,the-landlady,acdc-bag,bouncing-around-the-room,the-asse-festival,the-squirming-coil,my-sweet-one,divided-sky,magilla,the-oh-kee-pa-ceremony,suzy-greenberg,possum,funky-bitch,stash,uncle-pen,tube,lawn-boy,tweezer,buried-alive,mcgrupp-and-the-watchful-hosemasters,hold-your-head-up,love-you,run-like-an-antelope,the-lizards,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1990-09-21,reba,paul-and-silas,the-asse-festival,dinner-and-a-movie,foam,esther,the-landlady,mikes-song,i-am-hydrogen,weekapaug-groove,eliza,la-grange,golgi-apparatus,magilla,stash,colonel-forbins-ascent,fly-famous-mockingbird,you-enjoy-myself,highway-to-hell,whipping-post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,1990-09-22,buried-alive,my-sweet-one,divided-sky,tela,the-oh-kee-pa-ceremony,suzy-greenberg,magilla,wilson,the-landlady,i-didnt-know,david-bowie,mo-better-blues,the-squirming-coil,tweezer,destiny-unbound,fee,uncle-pen,bouncing-around-the-room,stash,the-lizards,lawn-boy,possum,the-asse-festival,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,
387,1990-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,1990-09-28,the-landlady,bouncing-around-the-room,the-oh-kee-pa-ceremony,suzy-greenberg,stash,my-sweet-one,the-squirming-coil,the-lizards,the-asse-festival,run-like-an-antelope,acdc-bag,esther,gumbo,dinner-and-a-movie,you-enjoy-myself,divided-sky,black-and-tan-fantasy,paul-and-silas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1990-09-29,divided-sky,dinner-and-a-movie,the-landlady,ya-mar,buried-alive,bouncing-around-the-room,possum,magilla,david-bowie,happy-birthday-to-you,the-squirming-coil,tweezer,gumbo,uncle-pen,stash,mikes-song,i-am-hydrogen,weekapaug-groove,lawn-boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1990-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1990-10-01,possum,the-squirming-coil,the-lizards,the-landlady,magilla,dinner-and-a-movie,bouncing-around-the-room,tweezer,the-oh-kee-pa-ceremony,suzy-greenberg,mikes-song,i-am-hydrogen,weekapaug-groove,the-asse-festival,stash,runaway-jim,fee,gumbo,golgi-apparatus,love-you,hold-your-head-up,run-like-an-antelope,contact,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,
392,1990-10-03,dinner-and-a-movie,uncle-pen,stash,divided-sky,bouncing-around-the-room,the-landlady,the-squirming-coil,paul-and-silas,the-asse-festival,mikes-song,i-am-hydrogen,weekapaug-groove,buried-alive,goin-down-slow,my-sweet-one,gumbo,good-times-bad-times,magilla,tube,you-enjoy-myself,minute-by-minute,possum,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1990-10-04,golgi-apparatus,the-landlady,esther,possum,the-squirming-coil,the-lizards,destiny-unbound,the-sloth,uncle-pen,david-bowie,reba,bouncing-around-the-room,foam,fee,tweezer,magilla,cavern,you-enjoy-myself,divided-sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1990-10-05,i-didnt-know,mikes-song,i-am-hydrogen,weekapaug-groove,my-sweet-one,the-landlady,tela,the-oh-kee-pa-ceremony,suzy-greenberg,stash,the-asse-festival,bouncing-around-the-room,run-like-an-antelope,golgi-apparatus,the-curtain,ya-mar,alumni-blues,letter-to-jimmy-page,uncle-pen,split-open-and-melt,fee,possum,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1990-10-06,the-landlady,the-squirming-coil,dinner-and-a-movie,bouncing-around-the-room,foam,you-enjoy-myself,the-oh-kee-pa-ceremony,suzy-greenberg,esther,possum,hold-your-head-up,if-i-only-had-a-brain,david-bowie,carolina,dont-get-me-wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,1990-10-07,divided-sky,uncle-pen,stash,the-landlady,destiny-unbound,colonel-forbins-ascent,fly-famous-mockingbird,the-asse-festival,the-squirming-coil,mikes-song,i-am-hydrogen,weekapaug-groove,magilla,la-grange,buried-alive,bouncing-around-the-room,tweezer,my-sweet-one,i-didnt-know,the-lizards,good-times-bad-times,golgi-apparatus,contact,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1990-10-08,dont-get-me-wrong,the-landlady,bouncing-around-the-room,foam,cavern,reba,my-sweet-one,you-enjoy-myself,the-oh-kee-pa-ceremony,possum,suzy-greenberg,stash,hold-your-head-up,if-i-only-had-a-brain,golgi-apparatus,magilla,run-like-an-antelope,contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1990-10-10,the-landlady,bouncing-around-the-room,possum,divided-sky,cavern,the-oh-kee-pa-ceremony,suzy-greenberg,the-squirming-coil,mikes-song,i-am-hydrogen,weekapaug-groove,golgi-apparatus,foam,destiny-unbound,you-enjoy-myself,terrapin,david-bowie,carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1990-10-11,reba,foam,my-sweet-one,stash,bouncing-around-the-room,the-squirming-coil,run-like-an-antelope,lawn-boy,the-landlady,gumbo,you-enjoy-myself,the-oh-kee-pa-ceremony,acdc-bag,magilla,possum,contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1990-10-12,suzy-greenberg,you-enjoy-myself,dinner-and-a-movie,bouncing-around-the-room,uncle-pen,cavern,esther,tweezer,golgi-apparatus,possum,fee,the-landlady,hold-your-head-up,terrapin,divided-sky,paul-and-silas,magilla,mikes-song,i-am-hydrogen,weekapaug-groove,carolina,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,1990-10-13,the-squirming-coil,buried-alive,divided-sky,uncle-pen,take-the-a-train,carolina,funky-bitch,if-i-only-had-a-brain,contact,good-times-bad-times,dinner-and-a-movie,bouncing-around-the-room,foam,the-lizards,destiny-unbound,stash,bike,mikes-song,i-am-hydrogen,weekapaug-groove,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,1990-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1990-10-17,cavern,the-asse-festival,reba,ya-mar,foam,you-enjoy-myself,the-oh-kee-pa-ceremony,suzy-greenberg,dinner-and-a-movie,stash,bouncing-around-the-room,tube,uncle-pen,the-sloth,possum,the-lizards,if-i-only-had-a-brain,david-bowie,buried-alive,lawn-boy,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,1990-10-18,the-landlady,bouncing-around-the-room,foam,the-squirming-coil,you-enjoy-myself,uncle-pen,cavern,i-didnt-know,drums,the-asse-festival,david-bowie,the-oh-kee-pa-ceremony,reba,my-sweet-one,stash,fee,divided-sky,hold-your-head-up,terrapin,possum,buried-alive,contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1990-10-19,golgi-apparatus,foam,uncle-pen,mikes-song,i-am-hydrogen,weekapaug-groove,magilla,cavern,possum,bathtub-gin,the-landlady,bouncing-around-the-room,the-oh-kee-pa-ceremony,suzy-greenberg,good-times-bad-times,carolina,acdc-bag,paul-and-silas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1990-10-20,funky-bitch,mikes-song,i-am-hydrogen,weekapaug-groove,walk-away,divided-sky,uncle-pen,cavern,possum,good-times-bad-times,la-grange,my-sweet-one,golgi-apparatus,the-ballad-of-curtis-loew,the-oh-kee-pa-ceremony,suzy-greenberg,communication-breakdown,paul-and-silas,bouncing-around-the-room,alumni-blues,i-didnt-know,you-enjoy-myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1990-10-22,golgi-apparatus,the-landlady,bouncing-around-the-room,foam,you-enjoy-myself,the-oh-kee-pa-ceremony,suzy-greenberg,divided-sky,cavern,contact,highway-to-hell,mikes-song,i-am-hydrogen,weekapaug-groove,low-rider,if-i-only-had-a-brain,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1990-10-25,dinner-and-a-movie,bouncing-around-the-room,foam,you-enjoy-myself,if-i-only-had-a-brain,buried-alive,cavern,uncle-pen,magilla,carolina,esther,run-like-an-antelope,the-landlady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1990-10-26,golgi-apparatus,foam,you-enjoy-myself,the-oh-kee-pa-ceremony,cavern,possum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1990-10-27,buried-alive,the-squirming-coil,my-sweet-one,stash,dinner-and-a-movie,bouncing-around-the-room,runaway-jim,tube,divided-sky,jesus-just-left-chicago,the-oh-kee-pa-ceremony,suzy-greenberg,run-like-an-antelope,fluffhead,llama,the-ballad-of-curtis-loew,mikes-song,i-am-hydrogen,weekapaug-groove,fee,possum,bike,david-bowie,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1990-10-30,the-landlady,bouncing-around-the-room,donna-lee,the-asse-festival,suzy-greenberg,uncle-pen,cavern,the-squirming-coil,possum,mikes-song,i-am-hydrogen,weekapaug-groove,magilla,foam,reba,llama,the-ballad-of-curtis-loew,fluffhead,hold-your-head-up,terrapin,buried-alive,david-bowie,paul-and-silas,the-lizards,good-times-bad-times,contact,acdc-bag,carolina,,,,,,,,,,,,,,,,,,,,,,
412,1990-10-31,buried-alive,possum,the-squirming-coil,the-lizards,stash,bouncing-around-the-room,you-enjoy-myself,the-asse-festival,my-sweet-one,cavern,run-like-an-antelope,the-landlady,reba,runaway-jim,foam,tweezer,fee,the-oh-kee-pa-ceremony,suzy-greenberg,hold-your-head-up,love-you,mikes-song,i-am-hydrogen,weekapaug-groove,uncle-pen,big-black-furry-creature-from-mars,,,,,,,,,,,,,,,,,,,,,,,,
413,1990-11-02,golgi-apparatus,the-landlady,bouncing-around-the-room,divided-sky,the-sloth,mikes-song,i-am-hydrogen,weekapaug-groove,esther,cavern,the-asse-festival,possum,buried-alive,suzy-greenberg,colonel-forbins-ascent,fly-famous-mockingbird,my-sweet-one,foam,you-enjoy-myself,the-lizards,i-didnt-know,david-bowie,lawn-boy,la-grange,,,,,,,,,,,,,,,,,,,,,,,,,,
414,1990-11-03,dinner-and-a-movie,bouncing-around-the-room,llama,the-squirming-coil,the-oh-kee-pa-ceremony,suzy-greenberg,magilla,foam,runaway-jim,you-enjoy-myself,good-times-bad-times,the-landlady,mikes-song,i-am-hydrogen,weekapaug-groove,paul-and-silas,stash,fee,uncle-pen,reba,possum,hold-your-head-up,love-you,run-like-an-antelope,fluffhead,fire,,,,,,,,,,,,,,,,,,,,,,,,
415,1990-11-04,carolina,acdc-bag,the-curtain,bouncing-around-the-room,tube,harry-hood,funky-bitch,the-asse-festival,my-sweet-one,david-bowie,golgi-apparatus,rocky-top,llama,mikes-song,i-am-hydrogen,weekapaug-groove,manteca,caravan,runaway-jim,the-oh-kee-pa-ceremony,suzy-greenberg,jesus-just-left-chicago,you-enjoy-myself,contact,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,
416,1990-11-06,mikes-song,i-am-hydrogen,weekapaug-groove,bouncing-around-the-room,the-landlady,cavern,uncle-pen,tweezer,i-didnt-know,good-times-bad-times,divided-sky,the-oh-kee-pa-ceremony,suzy-greenberg,foam,possum,highway-to-hell,contact,la-grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,1990-11-08,the-landlady,possum,the-lizards,foam,uncle-pen,llama,the-squirming-coil,the-asse-festival,i-didnt-know,mikes-song,i-am-hydrogen,weekapaug-groove,suzy-greenberg,divided-sky,tweezer,the-oh-kee-pa-ceremony,dinner-and-a-movie,bouncing-around-the-room,you-enjoy-myself,big-black-furry-creature-from-mars,jesus-just-left-chicago,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,1990-11-09,suzy-greenberg,the-landlady,you-enjoy-myself,possum,the-lizards,i-didnt-know,llama,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1990-11-10,reba,the-landlady,bouncing-around-the-room,runaway-jim,cavern,my-sweet-one,buried-alive,the-lizards,mikes-song,i-am-hydrogen,weekapaug-groove,suzy-greenberg,you-enjoy-myself,the-asse-festival,fee,llama,divided-sky,hold-your-head-up,bike,good-times-bad-times,possum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,1990-11-15,the-landlady,the-squirming-coil,runaway-jim,dinner-and-a-movie,bouncing-around-the-room,you-enjoy-myself,magilla,buried-alive,paul-and-silas,carolina,david-bowie,possum,eliza,cavern,stash,tube,foam,slave-to-the-traffic-light,llama,lawn-boy,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,1990-11-16,suzy-greenberg,buried-alive,foam,you-enjoy-myself,magilla,llama,divided-sky,golgi-apparatus,the-landlady,mikes-song,i-am-hydrogen,weekapaug-groove,lawn-boy,tube,paul-and-silas,the-lizards,runaway-jim,i-didnt-know,possum,contact,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,1990-11-17,llama,the-squirming-coil,the-landlady,runaway-jim,bouncing-around-the-room,you-enjoy-myself,cavern,eliza,the-oh-kee-pa-ceremony,suzy-greenberg,david-bowie,buried-alive,fluffhead,mikes-song,i-am-hydrogen,weekapaug-groove,esther,hold-your-head-up,love-you,possum,lawn-boy,rocky-top,donna-lee,good-times-bad-times,memories,sweet-adeline,,,,,,,,,,,,,,,,,,,,,,,,
423,1990-11-24,buried-alive,possum,foam,mikes-song,i-am-hydrogen,weekapaug-groove,the-squirming-coil,the-lizards,the-oh-kee-pa-ceremony,suzy-greenberg,david-bowie,llama,bouncing-around-the-room,stash,eliza,the-landlady,runaway-jim,you-enjoy-myself,hold-your-head-up,love-you,good-times-bad-times,big-black-furry-creature-from-mars,lawn-boy,divided-sky,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1990-11-26,the-landlady,runaway-jim,the-sloth,reba,buried-alive,you-enjoy-myself,paul-and-silas,david-bowie,mo-better-blues,divided-sky,makisupa-policeman,llama,uncle-pen,colonel-forbins-ascent,fly-famous-mockingbird,wilson,mikes-song,i-am-hydrogen,weekapaug-groove,hold-your-head-up,whipping-post,fire,contact,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1990-11-28,golgi-apparatus,divided-sky,foam,bouncing-around-the-room,tweezer,my-sweet-one,you-enjoy-myself,good-times-bad-times,the-oh-kee-pa-ceremony,suzy-greenberg,harry-hood,the-landlady,bathtub-gin,i-didnt-know,possum,take-the-a-train,mikes-song,i-am-hydrogen,weekapaug-groove,lawn-boy,rocky-top,timber-jerry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,1990-11-30,the-landlady,mikes-song,i-am-hydrogen,weekapaug-groove,esther,dinner-and-a-movie,bouncing-around-the-room,tweezer,my-sweet-one,llama,possum,the-asse-festival,the-squirming-coil,runaway-jim,stash,the-lizards,gumbo,divided-sky,i-didnt-know,the-sloth,run-like-an-antelope,caravan,the-oh-kee-pa-ceremony,suzy-greenberg,,,,,,,,,,,,,,,,,,,,,,,,,,
427,1990-12-01,cavern,the-landlady,llama,divided-sky,foam,tweezer,my-sweet-one,you-enjoy-myself,runaway-jim,buried-alive,mikes-song,i-am-hydrogen,weekapaug-groove,the-squirming-coil,golgi-apparatus,stash,bouncing-around-the-room,david-bowie,carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,1990-12-02,llama,bouncing-around-the-room,runaway-jim,the-asse-festival,dinner-and-a-movie,you-enjoy-myself,colonel-forbins-ascent,fly-famous-mockingbird,the-landlady,possum,mikes-song,i-am-hydrogen,weekapaug-groove,gumbo,foam,stash,the-oh-kee-pa-ceremony,suzy-greenberg,rocky-top,ya-mar,run-like-an-antelope,lawn-boy,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,1990-12-07,golgi-apparatus,stash,bouncing-around-the-room,the-landlady,you-enjoy-myself,the-asse-festival,runaway-jim,foam,llama,mikes-song,i-am-hydrogen,weekapaug-groove,donna-lee,cavern,tweezer,the-squirming-coil,the-oh-kee-pa-ceremony,suzy-greenberg,hold-your-head-up,no-good-trying,david-bowie,alumni-blues,letter-to-jimmy-page,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,1990-12-08,buried-alive,runaway-jim,foam,acdc-bag,divided-sky,cavern,eliza,the-landlady,mikes-song,i-am-hydrogen,weekapaug-groove,llama,the-asse-festival,dinner-and-a-movie,bouncing-around-the-room,run-like-an-antelope,tela,golgi-apparatus,hold-your-head-up,no-good-trying,you-enjoy-myself,funky-bitch,contact,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,,
431,1990-12-28,runaway-jim,foam,horn,reba,llama,colonel-forbins-ascent,fly-famous-mockingbird,mikes-song,i-am-hydrogen,weekapaug-groove,golgi-apparatus,the-landlady,possum,the-squirming-coil,tweezer,manteca,the-oh-kee-pa-ceremony,my-sweet-one,divided-sky,no-good-trying,hold-your-head-up,dont-get-me-wrong,funky-bitch,bouncing-around-the-room,highway-to-hell,,,,,,,,,,,,,,,,,,,,,,,,,
432,1990-12-29,i-didnt-know,llama,you-enjoy-myself,esther,david-bowie,lawn-boy,rocky-top,horn,the-oh-kee-pa-ceremony,suzy-greenberg,buried-alive,runaway-jim,the-lizards,cavern,stash,jesus-just-left-chicago,dinner-and-a-movie,bouncing-around-the-room,destiny-unbound,run-like-an-antelope,donna-lee,acdc-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,1990-12-31,suzy-greenberg,divided-sky,i-didnt-know,the-landlady,bouncing-around-the-room,my-sweet-one,mikes-song,i-am-hydrogen,weekapaug-groove,buried-alive,possum,golgi-apparatus,stash,the-squirming-coil,runaway-jim,magilla,you-enjoy-myself,rocky-top,hold-your-head-up,if-i-only-had-a-brain,run-like-an-antelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,1991-02-01,my-sweet-one,foam,tweezer,tweezer-reprise,magilla,guelah-papyrus,runaway-jim,split-open-and-melt,bouncing-around-the-room,david-bowie,chalk-dust-torture,reba,the-landlady,the-mango-song,cavern,alumni-blues,letter-to-jimmy-page,carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1991-02-02,the-oh-kee-pa-ceremony,suzy-greenberg,guelah-papyrus,dinner-and-a-movie,esther,stash,destiny-unbound,you-enjoy-myself,chalk-dust-torture,the-squirming-coil,golgi-apparatus,the-mango-song,the-sloth,run-like-an-antelope,lawn-boy,bathtub-gin,runaway-jim,horn,harry-hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1991-02-03,runaway-jim,guelah-papyrus,my-sweet-one,tweezer,esther,destiny-unbound,reba,chalk-dust-torture,foam,golgi-apparatus,david-bowie,the-squirming-coil,the-landlady,cavern,the-mango-song,split-open-and-melt,bouncing-around-the-room,the-oh-kee-pa-ceremony,suzy-greenberg,jesus-just-left-chicago,big-black-furry-creature-from-mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1991-02-04,llama,divided-sky,horn,uncle-pen,stash,the-mango-song,the-landlady,bouncing-around-the-room,chalk-dust-torture,the-squirming-coil,buried-alive,runaway-jim,guelah-papyrus,the-lizards,run-like-an-antelope,lawn-boy,funky-bitch,cavern,lets-go,terrapin,mikes-song,i-am-hydrogen,weekapaug-groove,my-sweet-one,paul-and-silas,la-grange,rocky-top,,,,,,,,,,,,,,,,,,,,,,,
438,1991-02-07,runaway-jim,foam,my-sweet-one,the-landlady,the-mango-song,split-open-and-melt,bouncing-around-the-room,possum,the-squirming-coil,golgi-apparatus,chalk-dust-torture,the-man-who-stepped-into-yesterday,avenu-malkenu,tweezer,tweezer-reprise,guelah-papyrus,uncle-pen,cavern,lets-go,love-you,the-lizards,the-sloth,destiny-unbound,you-enjoy-myself,acdc-bag,,,,,,,,,,,,,,,,,,,,,,,,,
439,1991-02-08,acdc-bag,reba,buried-alive,colonel-forbins-ascent,fly-famous-mockingbird,my-sweet-one,stash,the-squirming-coil,runaway-jim,guelah-papyrus,david-bowie,llama,the-mango-song,cavern,lawn-boy,mikes-song,i-am-hydrogen,weekapaug-groove,horn,bouncing-around-the-room,the-lizards,run-like-an-antelope,magilla,la-grange,,,,,,,,,,,,,,,,,,,,,,,,,,
440,1991-02-09,the-mango-song,the-sloth,the-man-who-stepped-into-yesterday,avenu-malkenu,runaway-jim,foam,guelah-papyrus,my-sweet-one,tweezer,reba,chalk-dust-torture,golgi-apparatus,buried-alive,fluffhead,the-landlady,bouncing-around-the-room,harry-hood,cavern,lets-go,love-you,the-squirming-coil,llama,lawn-boy,suzy-greenberg,contact,rocky-top,,,,,,,,,,,,,,,,,,,,,,,,
441,1991-02-14,my-sweet-one,mcgrupp-and-the-watchful-hosemasters,buried-alive,reba,destiny-unbound,cavern,the-mango-song,stash,lawn-boy,the-oh-kee-pa-ceremony,golgi-apparatus,mikes-song,i-am-hydrogen,weekapaug-groove,foam,the-squirming-coil,runaway-jim,esther,alumni-blues,bouncing-around-the-room,i-didnt-know,the-landlady,possum,uncle-pen,la-grange,,,,,,,,,,,,,,,,,,,,,,,,,
442,1991-02-15,the-curtain,wilson,divided-sky,split-open-and-melt,fee,buried-alive,the-mango-song,the-sloth,dinner-and-a-movie,magilla,llama,david-bowie,bathtub-gin,ya-mar,guelah-papyrus,my-sweet-one,the-oh-kee-pa-ceremony,acdc-bag,harry-hood,lets-go,terrapin,chalk-dust-torture,caravan,big-black-furry-creature-from-mars,contact,golgi-apparatus,,,,,,,,,,,,,,,,,,,,,,,,
443,1991-02-16,the-sloth,my-sweet-one,divided-sky,cavern,take-the-a-train,the-landlady,bouncing-around-the-room,llama,the-mango-song,mikes-song,i-am-hydrogen,weekapaug-groove,chalk-dust-torture,reba,buried-alive,runaway-jim,guelah-papyrus,fluffhead,rocky-top,lets-go,love-you,golgi-apparatus,lawn-boy,fire,possum,rocky-mountain-way,,,,,,,,,,,,,,,,,,,,,,,,
444,1991-02-19,llama,the-curtain,golgi-apparatus,reba,dinner-and-a-movie,the-sloth,runaway-jim,the-squirming-coil,david-bowie,my-sweet-one,mikes-song,i-am-hydrogen,weekapaug-groove,guelah-papyrus,the-landlady,esther,split-open-and-melt,bouncing-around-the-room,love-you,whole-lotta-love,the-oh-kee-pa-ceremony,suzy-greenberg,rocky-top,magilla,fire,,,,,,,,,,,,,,,,,,,,,,,,,
445,1991-02-20,buried-alive,cavern,possum,the-squirming-coil,tweezer,my-sweet-one,bouncing-around-the-room,llama,you-enjoy-myself,magilla,golgi-apparatus,foam,divided-sky,guelah-papyrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,1991-02-21,reba,dinner-and-a-movie,ya-mar,split-open-and-melt,fee,llama,the-lizards,my-sweet-one,mikes-song,i-am-hydrogen,weekapaug-groove,golgi-apparatus,cavern,the-landlady,bouncing-around-the-room,stash,guelah-papyrus,uncle-pen,hold-your-head-up,love-you,david-bowie,suzy-greenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,1991-02-22,chalk-dust-torture,the-squirming-coil,dinner-and-a-movie,you-enjoy-myself,magilla,the-oh-kee-pa-ceremony,suzy-greenberg,hold-your-head-up,terrapin,whole-lotta-love,run-like-an-antelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,1991-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1991-02-26,cavern,foam,the-squirming-coil,llama,guelah-papyrus,my-sweet-one,reba,the-oh-kee-pa-ceremony,acdc-bag,golgi-apparatus,la-grange,buried-alive,runaway-jim,dinner-and-a-movie,stash,bouncing-around-the-room,the-landlady,destiny-unbound,possum,the-lizards,mikes-song,i-am-hydrogen,weekapaug-groove,hold-your-head-up,love-you,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,
450,1991-02-27,golgi-apparatus,divided-sky,i-didnt-know,the-landlady,you-enjoy-myself,fee,my-sweet-one,split-open-and-melt,bouncing-around-the-room,fire,suzy-greenberg,buried-alive,cavern,the-squirming-coil,david-bowie,lawn-boy,the-oh-kee-pa-ceremony,the-sloth,love-you,possum,rocky-top,contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1991-02-28,the-landlady,bouncing-around-the-room,foam,esther,mikes-song,i-am-hydrogen,weekapaug-groove,cavern,the-man-who-stepped-into-yesterday,avenu-malkenu,my-sweet-one,golgi-apparatus,the-squirming-coil,buried-alive,reba,llama,guelah-papyrus,divided-sky,hold-your-head-up,love-you,the-lizards,you-enjoy-myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1991-03-01,wilson,foam,divided-sky,cavern,the-squirming-coil,tweezer,dinner-and-a-movie,bouncing-around-the-room,buried-alive,mikes-song,i-am-hydrogen,weekapaug-groove,golgi-apparatus,the-landlady,reba,llama,guelah-papyrus,runaway-jim,the-sloth,possum,hold-your-head-up,love-you,whole-lotta-love,david-bowie,the-oh-kee-pa-ceremony,suzy-greenberg,,,,,,,,,,,,,,,,,,,,,,,,
453,1991-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,1991-03-06,golgi-apparatus,you-enjoy-myself,the-landlady,the-squirming-coil,possum,cavern,divided-sky,hold-your-head-up,love-you,my-sweet-one,bouncing-around-the-room,david-bowie,jesus-just-left-chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,1991-03-07,the-oh-kee-pa-ceremony,the-landlady,the-sloth,runaway-jim,reba,possum,i-didnt-know,mikes-song,i-am-hydrogen,weekapaug-groove,guelah-papyrus,my-sweet-one,good-times-bad-times,bathtub-gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,1991-03-08,golgi-apparatus,you-enjoy-myself,fluffhead,stash,the-oh-kee-pa-ceremony,suzy-greenberg,split-open-and-melt,the-squirming-coil,my-sweet-one,tweezer,daves-energy-guide,big-black-furry-creature-from-mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1991-03-09,carolina,the-landlady,you-enjoy-myself,my-sweet-one,foam,divided-sky,cavern,reba,possum,the-oh-kee-pa-ceremony,suzy-greenberg,the-squirming-coil,buried-alive,runaway-jim,guelah-papyrus,david-bowie,the-lizards,hold-your-head-up,love-you,fire,lawn-boy,golgi-apparatus,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1991-03-13,fluffhead,the-landlady,you-enjoy-myself,cavern,divided-sky,esther,llama,the-squirming-coil,david-bowie,suzy-greenberg,split-open-and-melt,bouncing-around-the-room,my-sweet-one,guelah-papyrus,runaway-jim,the-sloth,reba,tweezer,hold-your-head-up,terrapin,the-oh-kee-pa-ceremony,golgi-apparatus,take-the-a-train,big-black-furry-creature-from-mars,,,,,,,,,,,,,,,,,,,,,,,,,,
